sno.,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit
1,Northern,Delhi,Delhi,India Gate,War Memorial,1921,1,5,0,Yes,None,Historical,Yes,3,Evening
2,Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2,5,30,Yes,None,Historical,Yes,0,Afternoon
3,Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5,5,60,Yes,None,Religious,No,0,Afternoon
4,Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2,4,50,Yes,Monday,Environmental,Yes,0,Evening
5,North-Eastern,Assam,Guwahati,Rasmussen PLC Museum,Museum,1835,3,3.8,10,Yes,Friday,Natural,No,4.4,Evening
6,Eastern,Odisha,Bhubaneswar,"Ortiz, Thompson and Vazquez Temple",War Memorial,1652,3,3.6,10,Yes,Friday,Architectural,No,0.1,Evening
7,Western,Gujarat,Ahmedabad,"Trujillo, Frazier and Martinez Temple",Zoo,1938,5,5,100,Yes,Wednesday,Cultural,Yes,0.7,Summer
8,Southern,Tamil Nadu,Chennai,Smith Ltd Fort,Hill Station,1752,5,4.8,0,Yes,Sunday,Historical,Yes,1.5,Afternoon
9,Western,Maharashtra,Mumbai,Proctor-Price Temple,Zoo,1767,3,3.8,100,No,Sunday,Cultural,Yes,0.7,Evening
10,Western,Rajasthan,Jaipur,"Johnson, Bowman and Hampton Museum",Hill Station,1942,2,4.8,100,Yes,Saturday,Environmental,No,2,Morning
11,Eastern,Odisha,Bhubaneswar,"Miles, Bruce and Robinson Temple",Temple,1986,5,3.5,100,Yes,Monday,Cultural,Yes,0.2,Winter
12,Central,Madhya Pradesh,Bhopal,Mcdowell LLC Temple,Theme Park,1780,3,5,0,Yes,Monday,Religious,Yes,1.5,Evening
13,Central,Madhya Pradesh,Bhopal,"Robinson, Cardenas and Rogers Fort",Lake,1675,1,4.3,10,Yes,Saturday,Historical,Yes,3.9,Winter
14,Western,Rajasthan,Jaipur,Stewart-Schmidt Temple,Hill Station,1767,6,4.1,20,Yes,Saturday,Natural,Yes,2.8,Summer
15,North-Eastern,Assam,Guwahati,"Sanchez, Perez and Chambers Museum",Hill Station,1566,4,4.4,50,Yes,Sunday,Historical,No,2.3,Winter
16,Southern,Kerala,Kochi,Davis LLC Temple,Sanctuary,1510,3,3.7,50,Yes,Monday,Environmental,No,3.4,Evening
17,North-Eastern,Meghalaya,Shillong,King LLC Fort,Museum,2020,1,4.5,100,Yes,Tuesday,Natural,Yes,1.9,Evening
18,North-Eastern,Assam,Guwahati,"Carter, Calhoun and Woods Memorial",Sanctuary,1561,3,4,0,Yes,Tuesday,Religious,No,3.2,Morning
19,North-Eastern,Meghalaya,Shillong,Jones-Powell Memorial,Temple,2017,5,4,30,Yes,None,Environmental,No,1,Winter
20,Western,Gujarat,Ahmedabad,Fuentes PLC Temple,Theme Park,1618,6,4,20,Yes,Saturday,Religious,No,0.4,Afternoon
21,Western,Rajasthan,Jaipur,"Rodgers, Irwin and Lewis Memorial",Fort,1712,2,3.9,50,Yes,Wednesday,Architectural,Yes,1.9,Winter
22,Central,Madhya Pradesh,Bhopal,Moore-Nelson Temple,Zoo,1593,3,4,30,Yes,Wednesday,Historical,No,0.8,Morning
23,North-Eastern,Assam,Guwahati,"Mercer, Guzman and Smith Memorial",Sanctuary,1816,4,3.9,30,Yes,Monday,Cultural,No,3,Summer
24,Western,Maharashtra,Mumbai,"Mendez, Freeman and Jones Park",Temple,1998,1,4,100,Yes,Thursday,Cultural,Yes,1.8,Afternoon
25,Southern,Kerala,Kochi,"Phillips, Hines and Carrillo Memorial",Sanctuary,1966,2,3.7,0,Yes,Wednesday,Historical,Yes,1.5,Evening
26,Southern,Tamil Nadu,Chennai,"Lopez, Long and Lawson Park",Hill Station,1862,2,4.4,30,Yes,Sunday,Natural,No,0.6,Afternoon
27,Western,Gujarat,Ahmedabad,Stuart-Strong Temple,Tomb,1695,6,4.4,30,No,Tuesday,Religious,No,0.1,Summer
